Wavelength (nm), scalar, vector, tensor
422.8,9749.347827135754,-16427.124244430695,-1093.8498765625698
422.9,9291.158288574286,-15391.167278760911,-908.4582381094319
423.0,8879.422438071271,-14470.961878997354,-749.3214408910006
423.1,8507.119432954287,-13648.33929728416,-611.9441799654937
423.2,8168.5984416261745,-12908.736245243877,-492.75421415461005
423.3,7859.2575346927215,-12240.34400416691,-388.8811754482682
423.4,7575.309099995739,-11633.487628777488,-297.9955656448754
423.5,7313.605706220069,-11080.165818364023,-218.18971827367258
423.6,7071.508953047162,-10573.704985753995,-147.88853550742843
423.7,6846.789383321004,-10108.495813652991,-85.78168514922882
423.8,6637.549167952245,-9679.790279031975,-30.771484931720238
423.9,6442.161706132259,-9283.543613935532,18.067599709723716
424.0,6259.22393789089,-8916.290093127944,61.52076395349148
424.1,6087.518308312178,-8575.04460579271,100.25810224074482
424.2,5925.982120741915,-8257.224133530483,134.85484776520772
424.3,5773.68257773537,-7960.5848172842525,165.8077963143432
424.4,5629.796202075688,-7683.171453211267,193.54883051457367
424.5,5493.591598141322,-7423.277158384961,218.45628489993823
424.6,5364.414677316961,-7179.411713381446,240.8647971351099
424.7,5241.675529185336,-6950.277850040328,261.07428377492465
424.8,5124.836039311074,-6734.755698545379,279.35879847009994
424.9,5013.397035164845,-6531.897098849057,295.97637920874104
425.0,4906.882927423323,-6340.934332055014,311.1818281204635
425.1,4804.819822075003,-6161.314116960992,325.2463767159151
425.2,4706.6979365458365,-5992.78338750282,338.49334534914425
425.3,4611.89442300426,-5835.597747739968,351.37364653374044
425.4,4519.483650492389,-5691.070805649794,364.65404180218707
425.5,4427.65915972346,-5563.2912192877775,379.99390642088656
425.6,4331.313531056544,-5466.36830359616,402.3642350798818
425.7,4202.990339477997,-5481.56332205902,459.0946927737583
425.8,4868.643051121128,-3130.0016064547135,-275.8861620184445
425.9,4223.8865582965145,-4723.908170132313,301.6968057417892
426.0,4120.170028026603,-4708.080586456315,340.2917626025189
426.1,4040.943761144191,-4631.380870812019,356.3524253466204
426.2,3970.0916193991243,-4541.431550445634,365.905076649925
426.3,3903.971081992714,-4448.489616796407,372.5080082240124
426.4,3841.2426771693167,-4355.953020819851,377.42163892958973
426.5,3781.260148925467,-4265.18554385933,381.2179418748447
426.6,3723.6484912722567,-4176.778572318598,384.2020429483457
426.7,3668.1589386237447,-4090.9824467033413,386.5568977824113
426.8,3614.609533453502,-4007.8814669095855,388.40242215413383
426.9,3562.8574738966395,-3927.4738986474017,389.82286979312477
427.0,3512.784926737332,-3849.71188402058,390.880769222644
427.1,3464.291148587281,-3774.5226926594496,391.6245742605723
427.2,3417.2878081464783,-3701.8206041823146,392.09313303052846
427.3,3371.6960433646755,-3631.513793957686,392.3184396778326
427.4,3327.4445128289913,-3563.5084210049013,392.3274077088134
427.5,3284.468045219051,-3497.7110862423233,392.143059559239
427.6,3242.7066643290827,-3434.0303108246,391.78535351481725
427.7,3202.104859255519,-3372.3774101750378,391.27177716062505
427.8,3162.6110203885046,-3312.666988072629,390.61778563072215
427.9,3124.1769912425384,-3254.817188584175,389.83713364979434
428.0,3086.757703681718,-3198.749792476352,388.94213294053384
428.1,3050.3108748657855,-3144.3902136635597,387.94385589191927
428.2,3014.7967510484928,-3091.6674318946443,386.8522996566571
428.3,2980.177887775187,-3040.5138855772766,385.6765205026947
428.4,2946.418958956371,-2990.8653406634994,384.4247453751351
428.5,2913.486589285457,-2942.6607462714487,383.10446569046053
428.6,2881.3492058470115,-2895.842084211041,381.7225170548694
428.7,2849.97690573786,-2850.35421721515,380.28514766733076
428.8,2819.341337225184,-2806.1447390616704,378.7980775047937
428.9,2789.415592481578,-2763.1638286639554,377.266549907153
429.0,2760.1741103195172,-2721.364109439075,375.6953768270003
429.1,2731.5925876401457,-2680.7005147349337,374.0889787465176
429.2,2703.6478985335116,-2641.1301597280267,372.45142006534684
429.3,2676.3180201432438,-2602.6122199524193,370.78644061146645
429.4,2649.581964545801,-2565.107816445834,369.09748380941966
429.5,2623.4197160054077,-2528.5799073828457,367.38772194807575
429.6,2597.812173055694,-2492.9931859887106,365.6600789171039
429.7,2572.741094932139,-2458.3139844787897,363.9172507228632
429.8,2548.189051940379,-2424.510183740132,362.1617240471821
